Epoch,training_MAE,tuning_MAE
1,1024.282464,1148.7984
2,566.5705702,962.6542
3,646.470075,830.29158
4,494.3354834,781.28229
5,460.9107976,763.25616
6,410.2878433,742.5896
7,355.5801977,738.5128234
8,350.1148247,758.1613
9,309.1024452,732.161
10,370.366703,701.26816
11,328.4022112,788.268
12,310.1444752,681.26816
13,358.7642261,755.132852
14,290.8390774,597.1166311
15,326.3243164,726.6615874
16,347.1610834,678.6625924
17,307.6464043,615.1389268
18,312.0499276,755.1149371
19,298.9060077,705.4279038
20,314.6121085,688.5891759
21,312.7707728,752.2450742
22,288.5530202,555.9331311
23,316.0110844,605.8085187
24,326.0595019,756.8841619
25,239.3087598,809.7257477
26,317.8478535,727.0478499
27,251.7198263,624.1320695
28,264.0206486,624.1936717
29,250.3346225,521.5606736
30,221.4305323,700.8904141
31,275.4820505,522.1571411
32,276.9282266,544.9820433
33,267.4377799,622.0793242
34,248.9829677,581.6526322
35,219.85601,655.7516555
36,241.836577,633.0602123
37,247.5707005,620.5929345
38,233.2446958,611.1500507
39,212.3057415,654.7075779
40,229.7857555,559.2644265
41,232.3102839,639.111523
42,249.0292037,510.0411826
43,215.6532158,497.9193674
44,210.8288913,616.5039564
45,196.1880505,605.6190416
46,221.7256472,617.216085
47,187.5117561,515.7489485
48,205.9820421,677.4470509
49,217.8224029,628.0518824
50,214.6613535,554.2322746
51,243.1276421,523.9276383
52,191.6169498,671.9223969
53,208.1273637,490.097368
54,227.0831967,688.3205895
55,234.027369,654.8413054
56,204.6709184,547.0219446
57,192.3585064,605.1481928
58,239.0652196,568.7365093
59,231.1043278,506.3402005
60,184.7754986,580.0931193
61,213.5263069,486.7267754
62,199.0051068,543.630267
63,209.0901617,489.0615968
64,200.3589683,531.2093452
65,222.0402194,489.8485489
66,194.4622607,533.8457078
67,197.4775689,413.60775
68,189.456751,611.1465351
69,162.4057755,536.9644248
70,166.7445808,467.2719447
71,199.4067584,546.4741114
72,170.0690726,595.7813042
73,166.4641962,593.5630207
74,203.039298,637.4343815
75,191.8073904,514.7994281
76,169.5832737,491.123103
77,160.27015,545.8215231
78,190.6882641,536.0751634
79,181.1874385,425.4999269
80,157.9123432,548.8771249
81,178.2810545,508.0428958
82,160.9214718,428.644931
83,174.9253596,527.383427
84,188.4772253,546.7962829
85,148.645423,394.8633491
86,144.6263148,472.7710056
87,177.7895298,511.1088521
88,154.5849624,378.8666646
89,182.1790664,561.462897
90,142.6368075,466.3554932
91,164.8029187,421.6127438
92,143.057402,364.4386805
93,162.1881214,469.5669214
94,183.194151,384.9411874
95,156.752315,420.3773769
96,136.848363,528.5104708
97,168.4496321,381.9347562
98,151.4429413,402.7031585
99,130.6656777,443.7565092
100,154.6459578,407.658161
